"TITLE","YEAR","HAS_ANNOTATION","DETECTED_METHODS","CONFIDENCE","VOI","BAYESIAN","SIMULATION","UNCERTAINTY"
"Bayesian design and analysis of external pilot trials for complex interventions",2021,TRUE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"Value of sample information in dynamic, structurally uncertain resource systems",2018,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Technical challenges in the application of adaptive management",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Risk analysis approaches to evaluating health impacts from land-based pollution in low-and middle-income countries",2021,TRUE,"risk_analysis","high",FALSE,FALSE,FALSE,FALSE
"Methods for incorporating population dynamics and decision theory in cackling goose management",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The marketplace of rationalizations",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"An investigation into tacit knowledge management at the supervisory level.",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Four conservation challenges and a synthesis",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A cost-effectiveness and value of information analysis to inform future research of tranexamic acid for older adults experiencing mild traumatic brain injury",2022,TRUE,"decision_analysis; economic_evaluation","high",TRUE,FALSE,FALSE,FALSE
"Confronting dynamics and uncertainty in optimal decision making for conservation",2013,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Assessing the cost-effectiveness of interventions to expand hepatitis {C} testing to help achieve elimination targets in the united kingdom",2022,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"A unified mathematical and algorithmic framework for managing multiple information sources of multi-physics systems",2021,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Arlington, virginia 22203 air force materiel command",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Bayesian methods for the design, analysis and interpretation of clinical studies",2013,FALSE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"Individuals' knowledge and behaviour in water governance: {An} israeli case study of female water research and policy professionals",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Incorporating climate uncertainty into conservation planning for wildlife managers",2022,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Increasing the social power of scientific information used for decisions on marine protected areas in new zealand",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Statistical deep learning for spatial and spatiotemporal data",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Data analytics and artificial intelligence in the complex environment of megaprojects: {Implications} for practitioners and project organizing theory",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"P24 improved estimation of overall survival and progression-free survival for state transition modelling in oncology",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"An exploratory study of donor stewardship on the {Web} framed within a cocreational public relations paradigm",NA,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The relationship between sustainable supply chains and economic success in the retail clothing industry in south africa",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Learning to trust skynet: {Interfacing} with artificial intelligence in cyberspace",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Estimating the cost-effectiveness of implementation: {Is} sufficient evidence available?",2016,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"The roots of legislative durability: {How} information, deliberation, and compromise create laws that last",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Uses of agent-based modeling and simulation to support business decision-making for healthcare industry leadership in the united states of america",2022,FALSE,"simulation","high",FALSE,FALSE,TRUE,FALSE
"Review of methods for supporting decisions under uncertainty.",2023,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Information literacy competencies and schools' curricula: {Investigating} teachers' preparedness, attitudes and understanding of information literacy in irish education",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Homegardens and the future of food and nutrition security in southwest uganda",2017,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Decision analysis to support agriculture for nutrition",2018,FALSE,"decision_analysis","high",FALSE,FALSE,FALSE,FALSE
"Walking away scot-free: {Trust}, expert advice, and realtor responsibility",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The diagnostic accuracy of the clinical examination of the hip",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"A web-based screening model for climate risk to water supply systems in the northeastern united states",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Personalization of medical treatment decisions: {Simplifying} complex models while maintaining patient health outcomes",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Examining the effects of disinformation and trust on social media users' {COVID}-19 vaccine decision-making",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Pharmacotherapeutic and pharmaco-economic value of docetaxel for the treatment of prostate cancer",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Want a better criminal justice response to rape? {Improve} police interviews with complainants and suspects",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"4–{Critical} writing",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A bi-direction performance evaluation model for water pollution treatment engineering under the intuitionistic multiplicative linguistic environment",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Factors associated with the use of multiple routine data collection systems ({RDS}) by national health programmes in tanzania.",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"{ESTIMATION} {OF} {TRANSITION} {PROBABILITIES} {BETWEEN} {CERVICAL} {LESIONS} {FOR} {THE} {NATURAL} {HISTORY} {OF} {CERVICAL} {CANCER} {AMONG} {CHINESE} {WOMEN}",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Combining uncertainty and sensitivity using multi-fidelity probabilistic aerodynamic databases for aircraft maneuvers",2016,FALSE,"","none",FALSE,FALSE,FALSE,TRUE
"Bridges beyond renewable energy: {Decarbonizing} the global electricity sector under uncertainty",2019,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Reinforcement learning methods in public health",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Expected value of information analysis to evaluate the potential gains of an {RCT} comparing wound dressings",2017,TRUE,"decision_analysis","high",TRUE,FALSE,FALSE,FALSE
"Economic evaluation and cost-effectiveness of health care interventions",2020,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research",2011,TRUE,"decision_analysis","high",TRUE,FALSE,FALSE,FALSE
"Accounting for heterogeneity in relative treatment effects for use in cost-effectiveness models and value-of-information analyses",2015,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Unlocking the effects and optimization path of financial support for improvement in environmental quality and rural revitalization development: {An} empirical analysis based on provincial data of shaanxi province",2023,TRUE,"optimization","high",FALSE,FALSE,FALSE,FALSE
"Economics of standards in information networks",2004,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Multiple criteria decision analysis software",2016,TRUE,"decision_analysis","high",FALSE,FALSE,FALSE,FALSE
"Models, theories, and research for program evaluation",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"{HOW} {DO} {JURORS} {EVALUATE} {MEMORY} {EVIDENCE}? {AN} {OPEN}-{ENDED} {APPROACH} {TO} {INVESTIGATING} {BELIEFS} {ABOUT} {MEMORY} {THAT} {JURORS} {BRING} {TO} {THE} {COURTROOM}",2023,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Mobile value chain collaboration for product diffusion: {Role} of the lifecycle",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Unconventional gas research initiative for clean energy transition in europe",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The online website privacy disclosure behavior of users based on concerns-outcomes model",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The challenges of data in future pandemics",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"{PMD44} economic evaluation of the {UGT1A1} pharmacogenetic test to inform dose selection of irinotecan-based chemotherapy",2011,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Evaluating the cost-effectiveness of pharmacogenomics in clinical practice",2014,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Efficient value of information computation",2013,FALSE,"decision_analysis","high",TRUE,FALSE,FALSE,FALSE
"Communication with unknown perspectives",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Leveraging social information systems: {Using} blogs to inform technology strategy decisions",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Risk management in supply chain integration using {A} business intelligence optimization approach",2023,FALSE,"optimization","high",FALSE,FALSE,FALSE,FALSE
"Quantitive management of information security in organizations",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Using structured decision making to evaluate potential management responses to detection of dreissenid mussel (dreissena spp.) environmental {DNA}",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Communication around the monthly figures: {A} case study on management reporting practices",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Effects of application of information on the expectations of benefits from {GaaP}: {Moderating} effects from perceptions of {IIT}",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Achieving equity, effectiveness, and efficiency in food bank operations: {Strategies} for feeding america with implications for global hunger relief",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Anchor investors and equity crowdfunding for entrepreneurs",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Fraud detection in supply chain with machine learning",2022,TRUE,"machine_learning","high",FALSE,FALSE,FALSE,FALSE
"{ETHICS} {OF} {DECISION} {MAKING} {IN} {MEDICINE} {IN} {THE} {ERA} {OF} {TECHNICAL} {REVOLUTION}",2021,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Economic evaluation of mental health effects of flooding using bayesian networks",2021,TRUE,"bayesian; economic_evaluation","high",FALSE,TRUE,FALSE,FALSE
"Approaching towards sustainable supply chain under the spotlight of business intelligence",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Sustainability reporting: {Quality} and value relevance",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Description of adaptation options and their costs and benefits",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Reflecting uncertainty in cost-effectiveness analysis",2016,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,TRUE
"Haitham {W}. {Tuffaha}, shelley roberts, wendy chaboyer, louisa {G}. {Gordon} \&",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Renewable energy support policy evaluation: {The} role of long-term uncertainty in market modelling",2020,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"A health system perspective on factors influencing the use of health information for decision-making in a district health system",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Disease surveillance investments and administration: {Limits} to information value in pakistan polio eradication",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Informal {Transactional}/{Effectual} networks and entrepreneurial innovation in response to uncertainty: {A} view on the global insurance industry",2022,FALSE,"","none",FALSE,FALSE,FALSE,TRUE
"Contingencies of the early nuclear arms race: {Michael} gordin: {Red} cloud at dawn: {Truman}, stalin, and the end of the atomic monopoly. {New} york: {Farrar}, straus and giroux, 2009, 416pp, {US} \$28 {HB}",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The unexpected impact of information sharing on {US} pharmaceutical supply chains",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Decision support frameworks and tools for conservation",2018,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Reevaluating standardized insurance policies",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Cui bono from giving up or protecting privacy? {A} basic decision theoretic model",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Environmentally sustainable practices at small community sport facilities",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Towards data-efficient deployment of reinforcement learning systems",2021,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"An introduction to using bayesian networks to model dredging decisions",2011,TRUE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"Bayesian networks for modeling dredging decisions",2011,TRUE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"Assessing the resilience of coastal systems: {A} probabilistic approach",2016,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Blurring the lines: {Merging} aspects of human cognition and artificial intelligence",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Institutional inertia in european {Fisheries}–{Insights} from the atlantic horse mackerel case",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A business model approach to web 2.0",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Decision under climate uncertainty: {Learning} in target-based approaches",2016,FALSE,"","none",FALSE,FALSE,FALSE,TRUE
"The use of decision analytic modeling in the evaluation of surgical innovations: {A} scoping review",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Effects of expectation and driving style on trust in highly automated vehicles",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Organizational transparency: {A} new perspective on managing trust in organization-stakeholder relationships",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Concomitant health benefits package design and research prioritisation: {Development} of a new approach and an application to malawi",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Stabilization targets under uncertain and heterogeneous climate damages",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Minimizing health care spending by optimizing care management activities: {A} mixed-integer programming approach to managing population health",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Digital resilience in dealing with misinformation on social media during {COVID}-19: {A} web application to assist users in crises",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A quantitative approach for integrating multiple lines of evidence for the evaluation of environmental health risks",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"An empirical study of the role of {E}-government benchmarking in china",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"National energy efficiency evaluation, measurement and verification ({EM}\&{V}) standard: {Scoping} study of issues and implementation requirements",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Practical risk management for the {CIO}",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Developing a benefits assessment framework for sea traffic management systems.",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Quantifying uncertainty in subsurface systems",2018,FALSE,"","none",FALSE,FALSE,FALSE,TRUE
"Expert involvement in science {Development}:({Re}-) evaluation of an early screening tool for carbon storage site characterization",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The impact of repeated data breach events on organisations' market value",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Economic valuation for information security investment: {A} systematic",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The content and quality of canadian trauma and {PTSD} websites.",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"When quality beats quantity: {Decision} theory, drug discovery, and the reproducibility crisis",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Understanding the capabilities and critical success factors in collaborative data sharing network: {The} case of {DataONE}",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"A case study on air quality forecasting in latvia",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Contrasting digital twin vision of manufacturing with the industrial reality",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Re-evaluating our knowledge of health system resilience during {COVID}-19: {Lessons} from the first two years of the pandemic",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Cost-effective information quality improvement in multi-labelling scenarios using human-based electronic services",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Enabling uncertainty quantification across {SimCenter} modules for simulation in natural hazards",2022,FALSE,"simulation","high",FALSE,FALSE,TRUE,TRUE
"Risk-informed asset management to tackle scouring on bridges across transport networks",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Trento law and technology research group",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Mandatory disclosure of {SAK} {ETAP} in mimetic and normative isomorphism perspective on real sector cooperatives in indonesia",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Corporate governance in global capital markets",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The implications of blockchain-coordinated information sharing within a supply chain: {A} simulation study",2023,TRUE,"simulation","high",FALSE,FALSE,TRUE,FALSE
"A decision support system for evaluating success factors of projects in the oil and gas industry",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"What makes a humanitarian supply chain resilient? {The} relevance of the capabilities for resilience within humanitarian supply chain and their identification within the typhoon yolanda",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Sustainability and corporate innovation",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The importance of the smart industry concept for innovation in dutch companies",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Leveraging supplier selection within supply chain management under uncertainty",2021,FALSE,"","none",FALSE,FALSE,FALSE,TRUE
"A comprehensive framework and literature review of supplier selection under different purchasing strategies",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Improvement of the inspection interval of highway bridges through predictive models of deterioration",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: {A} probabilistic sensitivity analysis",2020,TRUE,"economic_evaluation; risk_analysis","high",FALSE,FALSE,FALSE,TRUE
"Risk ranking of chemical and microbiological hazards in foods-research project and international workshop",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Transdiagnostic computations of uncertainty: {Towards} a new lens on intolerance of uncertainty",2023,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"{WAN} optimization: {A} business process reengineering and knowledge value added approach",2011,FALSE,"optimization","high",FALSE,FALSE,FALSE,FALSE
"Value creation in the content provider industry",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Maintenance and operation of infrastructure systems",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Neutrosophic multi-criteria evaluation of sustainable alternatives for the structure of single-family homes",2021,TRUE,"multi_criteria","high",FALSE,FALSE,FALSE,FALSE
"Supply-side cost-effectiveness thresholds: {Questions} for evidence-based policy",2022,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Optimising cost-effectiveness in risk-based screening programmes: {A} modelling approach",NA,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Design of a modular {DSS} for public health decision-making in the context of a {COVID}-19 pandemic landscape",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Encyclopedia of machine learning",2011,FALSE,"machine_learning","high",FALSE,FALSE,FALSE,FALSE
"An invitation to portfolio decision analysis",2011,TRUE,"decision_analysis","high",FALSE,FALSE,FALSE,FALSE
"A novel bayesian maximum entropy-based approach for optimal design of water quality monitoring networks in rivers",2021,TRUE,"bayesian","high",FALSE,TRUE,FALSE,FALSE
"The utility of {ChatGPT} as an example of large language models in healthcare education, research and practice: {Systematic} review on the future perspectives and potential limitations",2023,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Laboratory test requesting appropriateness and patient safety",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Optimal budget allocation in budget-based access control",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"The variations and the changes in the school librarians' perspectives of information literacy",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Risk-based management of the cost to society from infiltration and inflow to wastewater systems",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Do financial blogs serve an infomediary role in capital markets?",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Believing in {POMDPs}.",2015,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Against prejudice",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Artificial intelligence for medical diagnosis",2022,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Screening for psychological and mental health difficulties in young people who offend: {A} systematic review and decision model",2015,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Individual level simulation for the design of cost-effective research portfolios in elderly breast cancer: {Using} indirect evidence to derive prior distributions for simulation parameters.",NA,FALSE,"bayesian; simulation","high",FALSE,FALSE,TRUE,FALSE
"Thor visits lexington: {Exploration} of the knowledge-sharing gap and risk management learning in social media during multiple winter storms",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Endocrine disruptors: {Improving} regulatory science policy",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Flexible conservation decisions for climate adaptation",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A systematic review on the economic evaluations evidence of enhanced external counter-pulsation ({EECP}) for managing chronic stable angina",2022,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A {REVIEW} {OF} {THE} {BASES} {AND} {SOLUTIONS} {TO} {DEFICIENCY} {IN} {THE} {EFFECTIVE} {USE} {OF} {TECHNOLOGY} {IN} {THE} {CREATION} {OF} {LIFELONG} {LEARNING} {IN} {HIGHER} {EDUCATION}",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"When the facts are just not enough: {Credibly} communicating about risk is riskier when emotions run high and time is short",2011,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A road map for designing and implementing a biological monitoring program",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Economic evaluation of health care programmes and interventions: {Applications} to low-and middle-income countries",2016,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"What is the value of a standard?",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Street triage",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"A cost-effectiveness analysis of a preventive exercise program for patients with advanced head and neck cancer treated with concomitant chemo-radiotherapy",2011,FALSE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"How to anticipate future developments in comparative effectiveness research",NA,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Genetic algorithm application for real estate market analysis in the uncertainty conditions",2021,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Estimating the health effects of greenhouse gas mitigation strategies: {Addressing} parametric, model, and valuation challenges",2014,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Personal networks and knowledge transfer in inter-organizational networks",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Society for risk analysis annual meeting",2011,FALSE,"risk_analysis","high",FALSE,FALSE,FALSE,FALSE
"Health policy: {Choice}, equality and cost",2016,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Integrating modelling and smart sensors for environmental and human health",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"A robust, reproducible method for evaluating the suitability of disparate observational databases for pooled analysis, using the omop common data model",2017,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"The persistence of a stigmatized practice: {A} study of competitive intelligence",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Knowledge brokerage designs and practices in four european climate services: {A} role model for biodiversity policies?",2015,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Sources of uncertainty in interdependent infrastructure and their implications",2021,TRUE,"","none",FALSE,FALSE,FALSE,TRUE
"Bayesian methods for great lakes fisheries risk assessment and management",2016,FALSE,"bayesian; risk_analysis","high",FALSE,TRUE,FALSE,FALSE
"Auditors' understanding of evidence: {A} performance audit of an urban development programme",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Environmental decision support integrating scientific input, models, economic valuation, and stakeholder participation",2011,FALSE,"","none",FALSE,FALSE,FALSE,FALSE
"Economic evaluation of a web-based menu planning intervention to improve childcare service adherence with dietary guidelines",2021,TRUE,"economic_evaluation","high",FALSE,FALSE,FALSE,FALSE
"Learning human objectives by evaluating hypothetical behavior",2020,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Decision making with dynamic uncertain continuous information",2020,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Open government process and government transparency in crisis communication: {The} case of {AirAsia} {QZ8501} crash",2016,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
"Some modified picture fuzzy average aggregation operators with priority roles of stakeholders in implementation of education 4.0",2021,TRUE,"","none",FALSE,FALSE,FALSE,FALSE
