"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","Decision Analysis",151,"{the} role of value of information methods in arthritis research  abstract: reimbursement decisions are typically based on cost-effectiveness analyses. [@weltonAreHeadtoheadTrials2011a]","{the} role of value of information methods in arthritis research  abstract: reimbursement decisions are typically based on cost-effectiveness analyses.","[@weltonAreHeadtoheadTrials2011a]"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","General Methodology",136,"while a cost-effectiveness analysis can identify the optimum strategy, there is usually some degree of uncertainty around this decision. [@weltonAreHeadtoheadTrials2011a]","while a cost-effectiveness analysis can identify the optimum strategy, there is usually some degree of uncertainty around this decision.","[@weltonAreHeadtoheadTrials2011a]"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","General Methodology",197,"sources of uncertainty include statistical sampling error in treatment efficacy measures, underlying baseline risk, utility measures and costs, as well as uncertainty in the structure of the model. [@weltonAreHeadtoheadTrials2011a]","sources of uncertainty include statistical sampling error in treatment efficacy measures, underlying baseline risk, utility measures and costs, as well as uncertainty in the structure of the model.","[@weltonAreHeadtoheadTrials2011a]"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","Decision Analysis",278,"value of information (voi) analyses can be used to provide guidance on whether more research would be cost-effective, which particular model inputs (parameters) have the most bearing on decision uncertainty, and can also help with the design and sample size of further research. [@weltonAreHeadtoheadTrials2011a]","value of information (voi) analyses can be used to provide guidance on whether more research would be cost-effective, which particular model inputs (parameters) have the most bearing on decision uncertainty, and can also help with the design and sample size of further research.","[@weltonAreHeadtoheadTrials2011a]"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","General Methodology",104,"we emphasize the need for a model of the natural history of ra and psa, which reflects a consensus view. [@weltonAreHeadtoheadTrials2011a]","we emphasize the need for a model of the natural history of ra and psa, which reflects a consensus view.","[@weltonAreHeadtoheadTrials2011a]"
"weltonAccountingHeterogeneityRelative2015","Accounting for heterogeneity in relative treatment effects for use in cost-effectiveness models and value-of-information analyses","Decision Analysis",207,"title: accounting for heterogeneity in relative treatment effects for use in cost-effectiveness models and value-of-information analyses      annotation: publisher: sage publications sage ca: los angeles, ca [@weltonAccountingHeterogeneityRelative2015]","title: accounting for heterogeneity in relative treatment effects for use in cost-effectiveness models and value-of-information analyses      annotation: publisher: sage publications sage ca: los angeles, ca","[@weltonAccountingHeterogeneityRelative2015]"
"weiUnlockingEffectsOptimization2023","Unlocking the effects and optimization path of financial support for improvement in environmental quality and rural revitalization development: an empirical analysis based on provincial data of shaanxi province","Optimization",254,"title: unlocking the effects and optimization path of financial support for improvement in environmental quality and rural revitalization development: an empirical analysis based on provincial data of shaanxi province      annotation: publisher: springer [@weiUnlockingEffectsOptimization2023]","title: unlocking the effects and optimization path of financial support for improvement in environmental quality and rural revitalization development: an empirical analysis based on provincial data of shaanxi province      annotation: publisher: springer","[@weiUnlockingEffectsOptimization2023]"
"weistrofferMultipleCriteriaDecision2016a","Multiple criteria decision analysis software","General Methodology",88,"title: multiple criteria decision analysis software      annotation: publisher: springer [@weistrofferMultipleCriteriaDecision2016a]","title: multiple criteria decision analysis software      annotation: publisher: springer","[@weistrofferMultipleCriteriaDecision2016a]"
"weirModelsTheoriesResearch2016","Models, theories, and research for program evaluation","General Methodology",113,"title: models, theories, and research for program evaluation      annotation: publisher: elsevier health sciences [@weirModelsTheoriesResearch2016]","title: models, theories, and research for program evaluation      annotation: publisher: elsevier health sciences","[@weirModelsTheoriesResearch2016]"
"weirHOWJURORSEVALUATE2023","How do jurors evaluate memory evidence? {An} open-ended approach to investigating beliefs about memory that jurors bring to the courtroom","General Methodology",97,"{an} open-ended approach to investigating beliefs about memory that jurors bring to the courtroom [@weirHOWJURORSEVALUATE2023]","{an} open-ended approach to investigating beliefs about memory that jurors bring to the courtroom","[@weirHOWJURORSEVALUATE2023]"
"weihongOnlineWebsitePrivacy2022","The online website privacy disclosure behavior of users based on concerns-outcomes model","General Methodology",132,"title: the online website privacy disclosure behavior of users based on concerns-outcomes model      annotation: publisher: springer [@weihongOnlineWebsitePrivacy2022]","title: the online website privacy disclosure behavior of users based on concerns-outcomes model      annotation: publisher: springer","[@weihongOnlineWebsitePrivacy2022]"
"serranoRiskManagementSupply2023","Risk management in supply chain integration using a business intelligence optimization approach","Optimization",102,"title: risk management in supply chain integration using a business intelligence optimization approach [@serranoRiskManagementSupply2023]","title: risk management in supply chain integration using a business intelligence optimization approach","[@serranoRiskManagementSupply2023]"
"seppanenCommunicationMonthlyFigures2011","Communication around the monthly figures: a case study on management reporting practices","General Methodology",70,"methodology this study used the case study method for data collection. [@seppanenCommunicationMonthlyFigures2011]","methodology this study used the case study method for data collection.","[@seppanenCommunicationMonthlyFigures2011]"
"seddighApproachingSustainableSupply2023a","Approaching towards sustainable supply chain under the spotlight of business intelligence","General Methodology",155,"title: approaching towards sustainable supply chain under the spotlight of business intelligence    keywords: linter/error  annotation: publisher: springer [@seddighApproachingSustainableSupply2023a]","title: approaching towards sustainable supply chain under the spotlight of business intelligence    keywords: linter/error  annotation: publisher: springer","[@seddighApproachingSustainableSupply2023a]"
"sculpherReflectingUncertaintyCostEffectiveness2016","Reflecting uncertainty in cost-effectiveness analysis","General Methodology",60,"title: reflecting uncertainty in cost-effectiveness analysis [@sculpherReflectingUncertaintyCostEffectiveness2016]","title: reflecting uncertainty in cost-effectiveness analysis","[@sculpherReflectingUncertaintyCostEffectiveness2016]"
"scottRenewableEnergySupport2020","Renewable energy support policy evaluation: the role of long-term uncertainty in market modelling","General Methodology",197,"title: renewable energy support policy evaluation: the role of long-term uncertainty in market modelling    keywords: quantities vs. prices, renewable energy policy  annotation: publisher: elsevier [@scottRenewableEnergySupport2020]","title: renewable energy support policy evaluation: the role of long-term uncertainty in market modelling    keywords: quantities vs. prices, renewable energy policy  annotation: publisher: elsevier","[@scottRenewableEnergySupport2020]"
"schwartzDecisionSupportFrameworks2018","Decision support frameworks and tools for conservation","General Methodology",118,"title: decision support frameworks and tools for conservation      annotation: export date: 05 may 2024; cited by: 151 [@schwartzDecisionSupportFrameworks2018]","title: decision support frameworks and tools for conservation      annotation: export date: 05 may 2024; cited by: 151","[@schwartzDecisionSupportFrameworks2018]"
"schutzCuiBonoGiving2011","Cui bono from giving up or protecting privacy? {A} basic decision theoretic model","General Methodology",34,"{a} basic decision theoretic model [@schutzCuiBonoGiving2011]","{a} basic decision theoretic model","[@schutzCuiBonoGiving2011]"
"schultzIntroductionUsingBayesian2011","An introduction to using bayesian networks to model dredging decisions","Bayesian",175,"title: an introduction to using bayesian networks to model dredging decisions    keywords: bayesian  annotation: publisher: dredging operations and environmental research (us) [@schultzIntroductionUsingBayesian2011]","title: an introduction to using bayesian networks to model dredging decisions    keywords: bayesian  annotation: publisher: dredging operations and environmental research (us)","[@schultzIntroductionUsingBayesian2011]"
"schultzBayesianNetworksModeling2011","Bayesian networks for modeling dredging decisions","Bayesian",132,"title: bayesian networks for modeling dredging decisions    keywords: bayesian  annotation: publisher: environmental laboratory (us) [@schultzBayesianNetworksModeling2011]","title: bayesian networks for modeling dredging decisions    keywords: bayesian  annotation: publisher: environmental laboratory (us)","[@schultzBayesianNetworksModeling2011]"
"schultzAssessingResilienceCoastal2016","Assessing the resilience of coastal systems: a probabilistic approach","General Methodology",150,"title: assessing the resilience of coastal systems: a probabilistic approach      annotation: publisher: the coastal education and research foundation [@schultzAssessingResilienceCoastal2016]","title: assessing the resilience of coastal systems: a probabilistic approach      annotation: publisher: the coastal education and research foundation","[@schultzAssessingResilienceCoastal2016]"
"schroderBusinessModelApproach2011","A business model approach to web 2.0","General Methodology",43,"title: a business model approach to web 2.0 [@schroderBusinessModelApproach2011]","title: a business model approach to web 2.0","[@schroderBusinessModelApproach2011]"
"schreyerDecisionClimateUncertainty2016","Decision under climate uncertainty: learning in target-based approaches","General Methodology",78,"title: decision under climate uncertainty: learning in target-based approaches [@schreyerDecisionClimateUncertainty2016]","title: decision under climate uncertainty: learning in target-based approaches","[@schreyerDecisionClimateUncertainty2016]"
"scholteUseDecisionAnalytic2021","The use of decision analytic modeling in the evaluation of surgical innovations: a scoping review","General Methodology",141,"title: the use of decision analytic modeling in the evaluation of surgical innovations: a scoping review      annotation: publisher: elsevier [@scholteUseDecisionAnalytic2021]","title: the use of decision analytic modeling in the evaluation of surgical innovations: a scoping review      annotation: publisher: elsevier","[@scholteUseDecisionAnalytic2021]"
"schmittConcomitantHealthBenefits2021","Concomitant health benefits package design and research prioritisation: development of a new approach and an application to {Malawi}","Bayesian",191,"title: concomitant health benefits package design and research prioritisation: development of a new approach and an application to {malawi}      annotation: publisher: bmj specialist journals [@schmittConcomitantHealthBenefits2021]","title: concomitant health benefits package design and research prioritisation: development of a new approach and an application to {malawi}      annotation: publisher: bmj specialist journals","[@schmittConcomitantHealthBenefits2021]"
"schmidtMinimizingHealthCare2016","Minimizing health care spending by optimizing care management activities: a mixed-integer programming approach to managing population health","General Methodology",147,"title: minimizing health care spending by optimizing care management activities: a mixed-integer programming approach to managing population health [@schmidtMinimizingHealthCare2016]","title: minimizing health care spending by optimizing care management activities: a mixed-integer programming approach to managing population health","[@schmidtMinimizingHealthCare2016]"
"schleieriiiQuantitativeApproachIntegrating2015","A quantitative approach for integrating multiple lines of evidence for the evaluation of environmental health risks","General Methodology",161,"title: a quantitative approach for integrating multiple lines of evidence for the evaluation of environmental health risks      annotation: publisher: peerj inc. [@schleieriiiQuantitativeApproachIntegrating2015]","title: a quantitative approach for integrating multiple lines of evidence for the evaluation of environmental health risks      annotation: publisher: peerj inc.","[@schleieriiiQuantitativeApproachIntegrating2015]"
"schellhornDevelopingBenefitsAssessment2016","Developing a benefits assessment framework for sea traffic management systems","General Methodology",84,"title: developing a benefits assessment framework for sea traffic management systems [@schellhornDevelopingBenefitsAssessment2016]","title: developing a benefits assessment framework for sea traffic management systems","[@schellhornDevelopingBenefitsAssessment2016]"
"saputroComprehensiveFrameworkLiterature2022","A comprehensive framework and literature review of supplier selection under different purchasing strategies","General Methodology",151,"title: a comprehensive framework and literature review of supplier selection under different purchasing strategies      annotation: publisher: elsevier [@saputroComprehensiveFrameworkLiterature2022]","title: a comprehensive framework and literature review of supplier selection under different purchasing strategies      annotation: publisher: elsevier","[@saputroComprehensiveFrameworkLiterature2022]"
"santosImprovementInspectionInterval2022","Improvement of the inspection interval of highway bridges through predictive models of deterioration","General Methodology",140,"title: improvement of the inspection interval of highway bridges through predictive models of deterioration      annotation: publisher: mdpi [@santosImprovementInspectionInterval2022]","title: improvement of the inspection interval of highway bridges through predictive models of deterioration      annotation: publisher: mdpi","[@santosImprovementInspectionInterval2022]"
"sankatsingCosteffectivenessDigitalBreast2020","Cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis","General Methodology",285,"title: cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis  abstract: background digital breast tomosynthesis (dbt) is a promising screening test, but its outcomes and cost-effectiveness remain uncertain. [@sankatsingCosteffectivenessDigitalBreast2020]","title: cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis  abstract: background digital breast tomosynthesis (dbt) is a promising screening test, but its outcomes and cost-effectiveness remain uncertain.","[@sankatsingCosteffectivenessDigitalBreast2020]"
"sankatsingCosteffectivenessDigitalBreast2020","Cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis","Simulation",261,"materials and methods in this study, performed from march 2018 to february 2019, the microsimulation screening analysis model was used to conduct a probabilistic sensitivity analysis (psa), consisting of 10 000 model runs with 1 000 000 women simulated per run. [@sankatsingCosteffectivenessDigitalBreast2020]","materials and methods in this study, performed from march 2018 to february 2019, the microsimulation screening analysis model was used to conduct a probabilistic sensitivity analysis (psa), consisting of 10 000 model runs with 1 000 000 women simulated per run.","[@sankatsingCosteffectivenessDigitalBreast2020]"
