date,bibref,method_category,sentence
,ameneshewaMalariaDecisionAnalysis,Decision Trees and Networks,"Malaria Decision Analysis Support Tool (MDAST): Evaluating Health, Social and Environmental Impacts and Policy Tradeoffs"
,antleCaliforniaAgroecosystemServices,No specific method identified,"California Agroecosystem Services: Assessment, Valuation and Policy Perspective"
,antonelliDivergingIncentivesEvolutionary,No specific method identified,Diverging Incentives and Evolutionary Dynamics within Supply-Chain'
,arabiaElectronicSupplyChain,No specific method identified,Electronic Supply Chain Management: Some Latest Issues and Practices
,aziendaliITINVESTMENTSFIRM,No specific method identified,IT INVESTMENTS AND FIRM PERFORMANCE an Analytic and Empirical Investigation
,barzNaturnetredimeNEWSLETTER,No specific method identified,Naturnet-Redime NEWSLETTER
,becherDecisionAnalysisCost,Decision Trees and Networks,Decision Analysis for Cost Benefit Studies--Example: HIV Test-How Do We Handle Uncertainty of Parameter Estimation
,bellisarioInternationalJournalManufacturing,No specific method identified,International Journal of Manufacturing Technology and Management
,bellmanResearchContributions,No specific method identified,The Research Contributions Of
,bicchieriWHYDIDTHEY,No specific method identified,"Why Did They March? Networks, Beliefs, and Policy Change"
,bickelPresidentsLetter,No specific method identified,President's Letter
,boehmUsingIncrementalCommitment,No specific method identified,Using the Incremental Commitment Model (ICM) to Help Execute Competitive Prototyping (CP)
,bolsingerValuebasedAutomatedProcess,No specific method identified,Value-Based and Automated Process Design
,booksAhmedRiahibelkaoui,No specific method identified,Ahmed Riahi-Belkaoui
,bostonBookletAbstracts,No specific method identified,Booklet of Abstracts
,breazealNEWHRIUnifyingCharacteristics,No specific method identified,NEWHRI: Unifying Characteristics of Research in Human-Robot Interaction
,brownCanGlobalReporting,No specific method identified,Can Global Reporting Initiative Become a Global Institution?(Part I: The Rise of the GRI as a Case of Institutional Entrepreneurship)
,brownInternationalOrganizationsInformation,No specific method identified,International Organizations and Information: Intervening between the Causes and Effects of Nuclear Proliferation i
,butlerProjectModelingAnalysis,No specific method identified,Of Project: Modeling and Analysis of Clinical Care for HIT Improvement
,chaussaletIMAHealth2007,No specific method identified,IMA Health 2007
,chenFOCUSProgram,No specific method identified,FOCUS Program
,ciuccarelliHandlingChangesDiagrams,No specific method identified,Handling Changes through Diagrams
,clemenPortionsThisChapter,Probabilistic Methods,"Portions of This Chapter Are Based on Clemen, RT, and Winkler, RL (1999), Combining Probability Distributions from Experts in Risk Analysis,'' Risk Analysis, 19, 187-203"
,clementActualisationPartielleGuide,No specific method identified,Actualisation Partielle Du Guide M\'ethodologique Pour l'\'evaluation \'Economique Des Strat\'egies de Sant\'e
,codeUniversityDepartments,No specific method identified,University Departments
,collectivesOrchid,No specific method identified,Orchid
,crawfordCommentsQuestionsThis,No specific method identified,Comments and Questions on This Draft Discussion Paper Are Requested and Would Be Greatly Appreciated by the Authors
,dacostajuniorKnowledgeManagementInformation,No specific method identified,Knowledge Management in the Information Age
,diaz-caezWebbasedDataAnalysis,No specific method identified,A Web-Based Data Analysis Platform for Collaborative Decision Assistance
,dinalloLocalEnergyPlanning,No specific method identified,Local Energy Planning
,dohertyImpactsFutureEnvironmental,No specific method identified,Impacts of Future Environmental Change on Climate-and Air Pollution-Mediated Human Health: Part I-track Record Exploratory Award
,dowieNewMapWorld,No specific method identified,A New Map of the World of Public Health and an Ethical Code for Decision Analysts
,drurySubjectIndexValSe,No specific method identified,Subject Index ValSe 1-10
,dunnDatadrivenDecisionAnalysis,Decision Trees and Networks,Data-Driven Decision Analysis in Electric Power Systems
,editionMediaIntroduction,No specific method identified,The Media: An Introduction
,elamCollegeBusinessAdministration,No specific method identified,"College of Business Administration Alvah H. Chapman, Jr., Graduate School of Business"
,electricityIdentificationOptionsPolicy,No specific method identified,Identification of Options and Policy Instruments for the Internalisation of External Costs of Electricity Generation
,engrgGraduateCourseDescriptions,No specific method identified,Graduate Course Descriptions Effective Fall 2008
,factsAnnotatedListingNew,No specific method identified,Annotated Listing of New Books
,feessWhyItPays,No specific method identified,Why It Pays to Conceal--on the Optimal Timing of Acquiring Verifiable Information RM/06/020
,fox-rushbyUnderstandingPublicHealth,No specific method identified,Understanding Public Health
,gibbonFrugalityReasoningRole,No specific method identified,Frugality in Reasoning and the Role of Summary
,gohYorisAu,No specific method identified,Yoris a. Au
,gosainRoleOnlineInfomediaries,No specific method identified,The Role of Online Infomediaries in Price Discrimination: Evidence from the Auto-Retailing Sector
,goyalInternetBankingIssues,No specific method identified,"Internet Banking: Issues of Security, Trust, Usefulness \& Customer Satisfaction"
,gregusStrategicRoleInformation,No specific method identified,Strategic Role of Information Systems in Contemporary Management
,grimmHEDSDiscussionPaper,No specific method identified,HEDS Discussion Paper
,gtGeologicalCarbonSequestration,No specific method identified,---Geological Carbon Sequestration
,harringtonEthicalDilemmas,No specific method identified,Ethical Dilemmas
,HierarchicalMultivariateBayesian,Bayesian Methods,A Hierarchical Multivariate Bayesian Approach to Ensemble Model Output Statistics in Atmospheric Prediction
,hughesResponsiveness,No specific method identified,Responsiveness
,hulshofRegulationComplementaryAlternative,No specific method identified,The Regulation of Complementary and Alternative Medicinal Products in the EU and the US from a Comparative Law and Economics Perspective
,jacksonEnclosureUSEnvironmental,Delphi and Expert Judgment,Enclosure a US Environmental Protection Agency Science Advisory Board Expert Elicitation Advisory Panel
,jean-philippeComparisonExpertsNonadditive,No specific method identified,Comparison of Experts in the Non-Additive Case
,jonesImprovingEngineeringInformation,No specific method identified,Improving Engineering Information Access and Knowledge Discovery through Model-Based Information Navigation
,josefsson13thICCRTSC2,No specific method identified,13th ICCRTS: C2 for Complex Endeavors
,jungJCSE2008Weolho,No specific method identified,Jcse 2008 년 3 월호$$ 12 월호
,kapteynAdvancedMultidisciplinaryFacility,No specific method identified,An Advanced Multi-Disciplinary Facility for Measurement and Experimentation in the Social Sciences
,kawanoTheoryHistoryRegional,No specific method identified,Theory and History in Regional Perspective
,khanValueInformationRollOut,No specific method identified,Value of Information in Der Roll-Out
,kievitGuidanceAssessmentTreatment,No specific method identified,Guidance for the Assessment of Treatment Moderation and Patients' Preferences
,kikutiSequentialDecisionProblems,Decision Trees and Networks,Sequential Decision Problems Represented by Set-Valued Influence Diagrams
,korsanModelingDecisionAnalysis,Decision Trees and Networks,Modeling and Decision Analysis to Support Formulation Selection and Trial Sequencing
,koudstaalWaterResourcesInformation,No specific method identified,Water Resources Information Systems for Regional Planning
,laneQualitativeStudyCancer,No specific method identified,A Qualitative Study of Cancer Survivors' Responses to Information on the Long Term and Late Effects of Pelvic Radiotherapy One to Eleven Years Post Treatment
,leissMSMDonorDeferral,No specific method identified,MSM Donor Deferral Risk Assessment: An Analysis Using Risk Management Principles
,leivaMappingCityProfiles,No specific method identified,``Mapping City Profiles and Positioning through City Benchmarking: A New Methodology for Strategic City Planning''
,levyContestedPoliticsCorporate,No specific method identified,The Contested Politics of Corporate Governance: The Case of the Global Reporting Initiative
,lillardInformationSeekingContext,No specific method identified,Information Seeking in Context: An Exploratory Study of \_ Information Use Online by eBay Entrepreneurs\_ Abstract Approved: \_ (Chair) This Study Explored Entrepreneurship within One Particular Type
,lohraVIIssueEdition,No specific method identified,VI Issue Edition: 2009
,lopez-morellWpEcon0632,No specific method identified,Wp Econ 06.32
,madanHealthEconomicsDecision,No specific method identified,Health Economics and Decision Science Discussion Paper Series No. 08/08
,mcghanContinuousQualityImprovement,No specific method identified,Continuous Quality Improvement for Cost-Effective Research (QICER): Assessing Health Outcome Analyses and Global Policy
,mcnamaraRoleInstitutionalEnvironments,No specific method identified,The Role of Institutional Environments in Shaping SME Credit Availability: A European Perspective
,millerJournalOrganizationalLearning,No specific method identified,"Journal of Organizational Learning and Leadership Volume 13, Number 1 (ISSN 2154-8927)"
,mnushkozoiaLBC5112,No specific method identified,LBC 51.1 (2)+ 52.82 73 M50
,moenLearningFirst,No specific method identified,Learning First
,mohseninejadWhenMakeDefinite,No specific method identified,When to Make a Definite Decision Regarding a Conditionally Reimbursed Drug? The Case of Antifungals
,moldanChoosingResponses,No specific method identified,Choosing Responses
,morenoPrivacyConcernsRecommendation,No specific method identified,Privacy Concerns around Recommendation Systems
,morganThirdDraft,No specific method identified,Third Draft
,multi-drugresistantMedicalWorld,No specific method identified,Medical World
,nagarMeConstructionEngineering,No specific method identified,Me Construction Engineering and Management (Two Year Full Time) Curriculum--2008 Semester i
,nagoyaQuarterlyNewsletterInternational,No specific method identified,Quarterly Newsletter of the International Society of Blood Transfusion
,nationseducationalUNESCOSeriesInternet,No specific method identified,UNESCO Series on Internet Freedom
,nitirojntanadKaarSueksaaKh`muul,No specific method identified,การ ศึกษา ข้อมูล เชิง คุณภาพ ของ ข้อมูล ทางการ บัญชี และ ไม่ใช่ ทางการ บัญชี ที่ เกี่ยวข้อง กับ การ ระดม ทุน สาธารณะ เพื่อ ตราสาร ทุน ของ ไทย a Qualitative-Examination of Accounting and Non-Accounting Information Relevant to Thai Equity-Based Crowdfunding
,nordengEPortfoliosTechnologies,No specific method identified,ePortfolios Technologies
,northernCetuximabRadiotherapyTreatment,No specific method identified,Cetuximab plus Radiotherapy for the Treatment of Locally Advanced Squamous Cell Carcinoma of the Head and Neck
,nuallainLogDocument,No specific method identified,Log of Document
,nytorvLateLessonsEarly,No specific method identified,Late Lessons from Early Warnings: Towards Realism and Precaution with EMF?
,odgaard-jensenAuthorsPikeEvaproject,No specific method identified,"Authors Pike, Eva,(Project Leader), Researcher Torkilseng, Einar Bj rner, Researcher S terdal, Ingvil, Researcher Jimenez, Enrique, Researcher"
,pandherIdeaAppropriationEntrepreneurship,No specific method identified,Idea Appropriation \& Entrepreneurship within Organizations
,parrishAppointmentsHonorsGrants,No specific method identified,"Appointments, Honors, and Grants"
,pasisiThisFileWas,No specific method identified,This File Was Downloaded from: http://eprints. Qut. Edu. Au/79532
,perroneBAYESIANIDEASDISCRETE,Probabilistic Methods,"Bayesian Ideas and Discrete Event Simulation: Why, What and How"
,perroneBAYESIANIDEASDISCRETE,Bayesian Methods,"Bayesian Ideas and Discrete Event Simulation: Why, What and How"
,powerEconomicEvidenceAntitrust,No specific method identified,Economic Evidence in Antitrust: Defining Markets and Measuring Market Power Jonathan B. Baker and Timothy F. Bresnahan
,quaddusJunXu,No specific method identified,Jun Xu
,rabanInvestigatingOwnershipWillingness,No specific method identified,Investigating Ownership and the Willingness to Share Information Online (Pre-Print Draft)
,railStrategicPlanningRail,No specific method identified,Strategic Planning for Rail System Design
,rathbunApplyingGrossSavings,No specific method identified,Applying Gross Savings and Net Savings in an Integrated Policy Framework
,refsgaardGuidance,No specific method identified,Guidance
,repersentativesElectronicCommunicationsPrivacy,No specific method identified,Electronic Communications Privacy Act
,ReviewAutonomyAgent,No specific method identified,Review of Autonomy/Agent System Algorithms and Techniques to Inform Operator Interface Design
,rhotenCenterIntegratedStudy,No specific method identified,The Center for Integrated Study of the Human Dimensions of Global Change: A History
,riceRiceRE2008,No specific method identified,"Rice, RE (2008). Unusual Routines: Organizational (Non) Sensemaking. Journal of Communication, 58 (1), 1-19"
,richardsIndividualLevelSimulation,Probabilistic Methods,Health economic modelling and value of information techniques provide an alternative framework for research study design to traditional statistical practice
,richardsIndividualLevelSimulation,Bayesian Methods,The technique of Bayesian clinical trial simulation (BCTS) can be used for this purpose
,richardsIndividualLevelSimulation,Delphi and Expert Judgment,Health economic modelling and value of information techniques provide an alternative framework for research study design to traditional statistical practice
,richardsWilliamRoweRREA,No specific method identified,"William D. Rowe, RREA Inc"
,rigilloResearchExperimentation,No specific method identified,Research \& Experimentation
,rileyImportancePrecisionGreenhouse,No specific method identified,The Importance of Precision in Greenhouse Gas Emissions Inventories: Comparing Simple and Precise Data Collection Models
,saeidiEffectInformationTechnology,No specific method identified,Effect of Information Technology Dimensions on Enterprise Risk Management
,scussoliniDescriptionAdaptationOptions,No specific method identified,Description of Adaptation Options and Their Costs and Benefits
,select15thAnnualConference,No specific method identified,15th Annual Conference
,semerAppointmentsHonorsGrants,No specific method identified,"Appointments, Honors, and Grants"
,shenPartOneManagement,Expert Systems and AI,"Part One Management Information System, Decision-Making Support System, Expert System, Artificial Intelligence and Electronic Commerce"
,shvidenkoUncertaintiesRegionalTerrestrial,No specific method identified,Uncertainties of a Regional Terrestrial Biota Full Carbon Account: A Systems Analysis
,siburianSustainableEnergyDevelopment,Real Options,Sustainable Energy Development under Uncertainty Based on the Real Options Theory Approach
,SmartphonebasedInfrastructureWork,No specific method identified,Smartphone-Based Infrastructure Work Order Submission
,strohleIntegratingConsumerFlexibility,No specific method identified,Integrating Consumer Flexibility in Smart Grid and Mobility Systems
,strombergStakeContractUncertainty,No specific method identified,The Stake of Contract Uncertainty in Bioprospecting
,talksWelcomeAddress3,No specific method identified,Welcome Address 3 Committees 5 Sponsors 7 General Information 11 Conference Venue 15
,theuschChronicPainProgram,No specific method identified,"Chronic Pain Program Development: Old Town Clinic, Central City Concern"
,toApril2006Canadian,No specific method identified,"Until April 2006, the Canadian Agency for Drugs and Technologies in Health (CADTH) Was Known as the Canadian Coordinating Office for Health Technology Assessment (CCOHTA)"
,tomichCalMed,No specific method identified,Cal/Med
,tongiaReducingOneAspect,No specific method identified,Reducing One Aspect of the Digital Divide--Connectivity
,ullbergAssessingFunctionalityModifiability,No specific method identified,Assessing Functionality and Modifiability in ECM-systems
,unkenholzNeedNewRisk,No specific method identified,Need for a New Risk Methodology
,vanderzwaanAssessmentUncertainties,No specific method identified,Assessment of Uncertainties
,washinigtonCouncilWashingtonDC,No specific method identified,"Council, Washington, DC; National Aeronautics and Space. Administration, Washington, DC"
,webOfficialUseDSTI,No specific method identified,For Official Use DSTI/ICCP/IE (2006) 7/REV1
,willcoxArlingtonVirginia22203,No specific method identified,"Arlington, Virginia 22203 Air Force Materiel Command"
,wilson21ExpendituresUnited,No specific method identified,2.1 Expenditures in the United States and Worldwide
,wk-xoPrivacyenhancedPersonalizationPep2005,No specific method identified,Privacy-Enhanced Personalization (Pep2005)
,zimmermannMarcelPhilippMuller,No specific method identified,"Marcel Philipp M\""uller, Sebastian St\""ockl"
,ApplicabilityLawRequisite,No specific method identified,Applicability of the Law of Requisite Variety In Major Military System Acquisition
,AssessingEvaluatingDepartment,No specific method identified,"Assessing and Evaluating Department of Defense Efforts to Inform, Influence, and Persuade: Work Example"
,CyberIntelligenceTradecraft,No specific method identified,Cyber Intelligence Tradecraft Report the State of Cyber Intelligence Practices in the United States
,CyberIntelligenceTradecrafta,No specific method identified,Cyber Intelligence Tradecraft Report
,DeterminantsIndividuallevelDemand,Probabilistic Methods,"In addition to forecasting methods and procedures, research literature suggests management practices may also affect forecasters performance"
,InformationDrivenAdaptive,Probabilistic Methods,"By combining these technologies, we built a system that can 1 develop robust, adaptable mission plans 2 exploit knowledge learned through prior interactions with our adversary, and 3 autonomously and dynamically alter its behavior during mission execution to improve the likelihood of a successful outcome"
,InformationDrivenAdaptive,Bayesian Methods,"By combining these technologies, we built a system that can 1 develop robust, adaptable mission plans 2 exploit knowledge learned through prior interactions with our adversary, and 3 autonomously and dynamically alter its behavior during mission execution to improve the likelihood of a successful outcome"
,InformationDrivenAdaptive,Expert Systems and AI,"This report details our approach to combining dynamic, distributed constraint reasoning with machine learning techniques and adaptive response strategies"
,QuantitativeAnalysisUSAF,No specific method identified,A Quantitative Analysis of USAF C-17 Pilot Computer Based Continuation Training
1904,lewisCreditManHis1904,No specific method identified,The Credit Man and His Work
1918,californiasystemUniversityCaliforniaChronicle1918,No specific method identified,The University of California Chronicle
1955,dantzigLinearProgrammingUncertainty1955,Optimization Methods,Linear Programming under Uncertainty
1957,dantzigDiscretevariableExtremumProblems1957,Optimization Methods,This paper reviews some recent successes in the use of linear programming methods for the solution of discrete-variable extremum problems
1959,charnesChanceconstrainedProgramming1959,Probabilistic Methods,"The paper presents a method of attack which splits the problem into two non-linear (or linear) programming parts, (i) determining optimal probability distributions, (ii) approximating the optimal distributions as closely as possible by decision rules of prescribed form"
1960,barlowOptimumPreventiveMaintenance1960,No specific method identified,Optimum Preventive Maintenance Policies
1960,clarkOptimalPoliciesMultiechelon1960,No specific method identified,Optimal Policies for a Multi-Echelon Inventory Problem
1962,goodHowRationalShould1962,No specific method identified,How Rational Should a Manager Be?
1963,bowmanConsistencyOptimalityManagerial1963,No specific method identified,Consistency and Optimality in Managerial Decision Making
1963,charnesDeterministicEquivalentsOptimizing1963,Optimization Methods,Existence of such 'deterministic equivalents' in the form of specified convex programming problems is here established for a general class of linear decision rules under the following 3 classes of objectives: (1) maximum expected value ('E model'); (2) minimum variance ('V model'); and (3) maximum probability ('P model')
1965,eckenrodeWeightingMultipleCriteria1965,No specific method identified,Weighting Multiple Criteria
1965,lewisPhaseTheoryJudicial1965,No specific method identified,Phase Theory and the Judicial Process
1965,veinottComputingOptimalInventory1965,No specific method identified,"Computing Optimal (s, S) Inventory Policies"
1965,veinottOptimalPolicyMultiproduct1965,No specific method identified,"Optimal Policy for a Multi-Product, Dynamic, Nonstationary Inventory Problem"
1966,gilmoreTheoryComputationKnapsack1966,No specific method identified,The Theory and Computation of Knapsack Functions
1967,wesselCriteriaEvaluatingEffectiveness1967,No specific method identified,Criteria for Evaluating the Effectiveness of Library Operations and Services. Phase i: Literature Search \& State of the Art
1968,beardObjectivesinhighereducation1968,No specific method identified,Objectivesinhighereducation
1968,harsanyiGamesIncompleteInformation1968,Probabilistic Methods,"It has been shown that, if the various players' subjective probability distributions satisfy a certain mutual-consistency requirement, then any given game with incomplete information will be equivalent to a certain game with complete information, called the ""Bayes-equivalent"" of the original game, or briefly a ""Bayesian game"
1968,harsanyiGamesIncompleteInformation1968,Bayesian Methods,"Games with Incomplete Information Played by ""Bayesian"" Players, I-III"
1968,harsanyiGamesIncompleteInformation1968,Game Theory,""" Part II of the paper will now show that any Nash equilibrium point of this Bayesian game yields a ""Bayesian equilibrium point"" for the original game and conversely"
1968,harsanyiGamesIncompleteInformation1968,Delphi and Expert Judgment,"It has been shown that, if the various players' subjective probability distributions satisfy a certain mutual-consistency requirement, then any given game with incomplete information will be equivalent to a certain game with complete information, called the ""Bayes-equivalent"" of the original game, or briefly a ""Bayesian game"
1968,websterApplicabilityCommunicationTheory1968,No specific method identified,On the Applicability of Communication Theory to Industrial Markets
1968,srheED270870pdf1968,No specific method identified,ED270870.Pdf
1969,grimmBayesianDecisionAnalysis1969,Bayesian Methods,A Bayesian Decision Analysis of Mathematical Modeling
1969,grimmBayesianDecisionAnalysis1969,Decision Trees and Networks,A Bayesian Decision Analysis of Mathematical Modeling
1969,researchStrategicApproachUrban1969,No specific method identified,A Strategic Approach to Urban Research and Development: Social and Behavioral Science Considerations: Report to the Dept. of Housing and Urban Development
1969,blumrosenAdministrativeCreativityFirst1969,No specific method identified,Administrative Creativity: The First Year of the Equal Employment Opportunity Commission
1969,grimesReportSpecialStudy1969,No specific method identified,"The Report of a Special Study Carried on during July and August, 1969 under the Auspices of the Michigan State Department of Education"
1970,bernardITServicePart1970,No specific method identified,The IT Service Part 1 - the Essentials
1970,brownProbabilisticForecastsReproducing1970,Probabilistic Methods,Probabilistic Forecasts and Reproducing Scoring Systems
1970,goffmanStrategicInteraction1970,Game Theory,Strategic Interaction
1970,grunfeldComputersValues1970,No specific method identified,Computers and Values
1970,kotlerMarketingSimulationsReview1970,Probabilistic Methods,Marketing Simulations: Review and Prospects
1970,barzelay19700032982pdf1970,No specific method identified,19700032982.Pdf
1970,houseNationalGamingCouncil1970,Probabilistic Methods,"Thosearticlesrelatedtothesocialsciencesare: 1)Teaching EconomicswithCompetitiveGames;2) AnEconomic:trategyAnalysis Gam';3) ASocialSimulationStrategyforReseircningtheIsraeli ArabConflict;4) TheUseofSimulationGamesinInstruction;5) Simulation in High School Geography; 6) The Carolina Population CenterFamilyPlanningPolicyGame;7) EconomicsoftheEnvironment Decision Model: A First Step; 6) The Design Dilemma: Social Science GamesforWhom;9)GamingSimulationofUrbanSpatialProcesses; 10) TheConnecticutGame; 113 FunCity:AnUrbanPlanningGame; 12)Two UrbanElectionSimulationsandUrbanAnalysis;13) UrbanGameDesign; 14)SimulationGamesinSocialScienceTeachingsandResearch;15) LearningGamesintheDePaulCollege;16) SimulationinBehavioral ResearchandTrainingintheFieldofSpecialEducation Administration;17)Build:ACommunityDevelopmentSimulation ame; and, 18)Czechoslovakia1960:ASimulation"
1970,houseNationalGamingCouncil1970,Multi-Criteria Decision Analysis,"Thosearticlesrelatedtothesocialsciencesare: 1)Teaching EconomicswithCompetitiveGames;2) AnEconomic:trategyAnalysis Gam';3) ASocialSimulationStrategyforReseircningtheIsraeli ArabConflict;4) TheUseofSimulationGamesinInstruction;5) Simulation in High School Geography; 6) The Carolina Population CenterFamilyPlanningPolicyGame;7) EconomicsoftheEnvironment Decision Model: A First Step; 6) The Design Dilemma: Social Science GamesforWhom;9)GamingSimulationofUrbanSpatialProcesses; 10) TheConnecticutGame; 113 FunCity:AnUrbanPlanningGame; 12)Two UrbanElectionSimulationsandUrbanAnalysis;13) UrbanGameDesign; 14)SimulationGamesinSocialScienceTeachingsandResearch;15) LearningGamesintheDePaulCollege;16) SimulationinBehavioral ResearchandTrainingintheFieldofSpecialEducation Administration;17)Build:ACommunityDevelopmentSimulation ame; and, 18)Czechoslovakia1960:ASimulation"
1970,thomsonRevaluationOrthodoxValue1970,No specific method identified,Revaluation of Orthodox Value Theory
1971,iselinObjectivesAccountingAccounting1971,No specific method identified,The Objectives of Accounting in an Accounting Theory Based on Deductive Methodology
1971,birkettResponseAustralianAccounting1971,No specific method identified,Response of the Australian Accounting Profession to Company Failure in the 1960s1
1971,slovicComparisonBayesianRegression1971,Bayesian Methods,Comparison of Bayesian and Regression Approaches to the Study of Information Processing in Judgment
1971,triversEvolutionReciprocalAltruism1971,No specific method identified,The Evolution of Reciprocal Altruism
1971,whoFoodFortification1971,No specific method identified,Food Fortification
1972,dhewAdministrationMentalHealth1972,No specific method identified,Administration in Mental Health
1972,greenChronicleHistoryEssay1972,No specific method identified,Chronicle into History: An Essay on the Interpretation of History in Florentine Fourteenth-Century Chronicles
1972,andersonBuyerRiskReduction1972,No specific method identified,Buyer Risk Reduction through Adaptive Market Conditions
1972,howardDecisionSeedHurricanes1972,No specific method identified,"The Decision to Seed Hurricanes: On the Basis of Present Information, the Probabilityof Severe Damage Is Less If a Hurricane Is Seeded"
1972,nerloveTuitionCostsHigher1972,No specific method identified,On Tuition and the Costs of Higher Education: Prolegomena to a Conceptual Framework
1972,pessemierED105598pdf1972,No specific method identified,ED105598.Pdf
1972,unitedstatesarmyAD0748407pdf1972,Probabilistic Methods,"TIONS RESEARCH SYMPOSIUM, ""RISK ANALYSIS"""
1973,lipinskiComputerassistedExpertInterrogation1973,No specific method identified,Computer-Assisted Expert Interrogation: A Report on Current Methods Development
1973,peltzmanEvaluationConsumerProtection1973,No specific method identified,An Evaluation of Consumer Protection Legislation: The 1962 Drug Amendments
1973,smallwoodOptimalControlPartially1973,Probabilistic Methods,"The states of this internal process are not directly observable by the controller; rather, he has available a set of observable outputs that are only probabilistically related to the internal state of the system"
1974,geoffrionMulticommodityDistributionSystem1974,No specific method identified,Multicommodity Distribution System Design by Benders Decomposition
1975,calvinFoundationsSpaceBiology1975,No specific method identified,Foundations of Space Biology and Medicine: Joint USA/USSR Publication
1975,roweAnatomyRisk1975,No specific method identified,"An ""Anatomy"" of Risk"
1975,arnoldReportingBusinessPerformance1975,No specific method identified,Reporting Business Performance
1975,spetzlerExceptionalPaperProbability1975,Decision Trees and Networks,"Probability encoding, the process of extracting and quantifying individual judgment about uncertain quantities, is one of the major functions required in the performance of decision analysis"
1975,zelenyManagersManagementScience1975,No specific method identified,Managers without Management Science?
1975,bureauofthecensusCensusBureauNumerator1975,No specific method identified,"The Census Bureau, a Numerator and Denominator for Measuring Change"
1975,lietzkeValueForageMeasurement1975,Probabilistic Methods,"In this study, we develop an economic model and simulation to estimate the potential social benefit arising from the use of alternative measurement systems in rangeland management"
1975,tresselRelatedEconomicsScientific1975,No specific method identified,"Related to the Economics of the, Scientific and Technical 'information Industry"
1975,howardSemiannualTechnicalReport1975,Decision Trees and Networks,Semi-Annual Technical Report Software Development for Decision Analysis
1976,batemanAgriculturalMarketingReview1976,No specific method identified,Agricultural Marketing: A Review of the Literature of Marketing Theory and of Selected Applications*
1976,behnTeachingAnalyticalThinking1976,No specific method identified,Teaching Analytical Thinking
1976,critesCareerCounselingComprehensive1976,No specific method identified,Career Counseling: A Comprehensive Approach
1976,poberPrincipalAspectsForecasting1976,No specific method identified,Some Principal Aspects of Forecasting and Decision-Making and the Issues of Decision-Making under Uncertainty in the Austrian Electricity Supply System
1976,econDistributionBenefitsModel1976,No specific method identified,A Distribution Benefits Model for Improved Information on Worldwide Crop Production Volume i Model Structure and Application to Wheat
1976,friedmanFourPerspectivesStatus1976,No specific method identified,Four Perspectives on the Status of Child Abuse and Neglect Research
1976,obarADA164839pdf1976,No specific method identified,ADA164839.Pdf
1977,thompsonPersonnelPolicyCity1977,No specific method identified,Personnel Policy in the City: The Politics of Jobs in Oakland
1977,steebAdaptiveEstimationInformation1977,No specific method identified,Adaptive Estimation of Information Values in Continuous Decision Making and Control of Remotely Piloted Vehicles
1977,bolandExplorationLimitsModels1977,No specific method identified,An Exploration of the Limits of Models for Evaluating Accounting Information Systems/479
1977,cooperAccountingInformationEmployee1977,No specific method identified,Accounting Information and Employee Decision Making
1977,haroHealthInformationSystems1977,No specific method identified,Health Information Systems: Health Information Systems and Users' Needs
